# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-03-16 13:26:20 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03335500 WABASH RIVER AT LAFAYETTE, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 03335500
#            TS   parameter     statistic     Description
#         51608       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	51608_00060_00003	51608_00060_00003_cd
USGS	03335500	1924-01-13	23400	A
USGS	03335500	1924-01-14	18300	A
USGS	03335500	1924-01-15	12400	A
USGS	03335500	1924-01-16	10700	A
USGS	03335500	1924-01-17	9100	A
USGS	03335500	1924-01-18	10900	A
USGS	03335500	1924-01-19	9700	A
USGS	03335500	1924-01-20	7500	A
USGS	03335500	1924-01-21	5900	A
USGS	03335500	1924-01-22	5800	A
USGS	03335500	1924-01-23	6000	A
USGS	03335500	1924-01-24	6000	A
USGS	03335500	1924-01-25	6000	A
USGS	03335500	1924-01-26	5500	A
USGS	03335500	1924-01-27	5000	A
USGS	03335500	1924-01-28	5000	A
USGS	03335500	1924-01-29	7500	A
USGS	03335500	1924-01-30	20000	A
USGS	03335500	1924-01-31	40000	A
USGS	03335500	1924-02-01	40000	A
USGS	03335500	1924-02-02	25000	A
USGS	03335500	1924-02-03	18100	A
USGS	03335500	1924-02-04	15300	A
USGS	03335500	1924-02-05	21400	A
USGS	03335500	1924-02-06	28400	A
USGS	03335500	1924-02-07	27400	A
USGS	03335500	1924-02-08	18100	A
USGS	03335500	1924-02-09	12400	A
USGS	03335500	1924-02-10	10100	A
USGS	03335500	1924-02-11	8700	A
USGS	03335500	1924-02-12	8300	A
USGS	03335500	1924-02-13	7300	A
USGS	03335500	1924-02-14	6100	A
USGS	03335500	1924-02-15	6100	A
USGS	03335500	1924-02-16	6900	A
USGS	03335500	1924-02-17	7500	A
USGS	03335500	1924-02-18	5300	A
USGS	03335500	1924-02-19	5900	A
USGS	03335500	1924-02-20	4500	A
USGS	03335500	1924-02-21	3960	A
USGS	03335500	1924-02-22	3500	A
USGS	03335500	1924-02-23	3500	A
USGS	03335500	1924-02-24	3500	A
USGS	03335500	1924-02-25	3500	A
USGS	03335500	1924-02-26	3960	A
USGS	03335500	1924-02-27	4700	A
USGS	03335500	1924-02-28	5900	A
USGS	03335500	1924-02-29	8500	A
USGS	03335500	1924-03-01	9100	A
USGS	03335500	1924-03-02	9900	A
USGS	03335500	1924-03-03	10300	A
USGS	03335500	1924-03-04	9100	A
USGS	03335500	1924-03-05	8700	A
USGS	03335500	1924-03-06	17900	A
USGS	03335500	1924-03-07	19400	A
USGS	03335500	1924-03-08	14800	A
USGS	03335500	1924-03-09	10100	A
USGS	03335500	1924-03-10	9100	A
USGS	03335500	1924-03-11	8100	A
USGS	03335500	1924-03-12	7500	A
USGS	03335500	1924-03-13	7500	A
USGS	03335500	1924-03-14	13300	A
USGS	03335500	1924-03-15	19700	A
USGS	03335500	1924-03-16	15500	A
USGS	03335500	1924-03-17	10900	A
USGS	03335500	1924-03-18	10300	A
USGS	03335500	1924-03-19	9500	A
USGS	03335500	1924-03-20	8900	A
USGS	03335500	1924-03-21	8100	A
USGS	03335500	1924-03-22	8900	A
USGS	03335500	1924-03-23	9300	A
USGS	03335500	1924-03-24	9300	A
USGS	03335500	1924-03-25	19900	A
USGS	03335500	1924-03-26	28900	A
USGS	03335500	1924-03-27	32200	A
USGS	03335500	1924-03-28	30400	A
USGS	03335500	1924-03-29	30900	A
USGS	03335500	1924-03-30	50600	A
USGS	03335500	1924-03-31	58400	A
USGS	03335500	1924-04-01	52400	A
USGS	03335500	1924-04-02	39500	A
USGS	03335500	1924-04-03	28400	A
USGS	03335500	1924-04-04	21400	A
USGS	03335500	1924-04-05	17500	A
USGS	03335500	1924-04-06	14200	A
USGS	03335500	1924-04-07	12800	A
USGS	03335500	1924-04-08	11100	A
USGS	03335500	1924-04-09	9900	A
USGS	03335500	1924-04-10	9300	A
USGS	03335500	1924-04-11	8700	A
USGS	03335500	1924-04-12	8100	A
USGS	03335500	1924-04-13	7300	A
USGS	03335500	1924-04-14	7300	A
USGS	03335500	1924-04-15	6700	A
USGS	03335500	1924-04-16	6700	A
USGS	03335500	1924-04-17	7700	A
USGS	03335500	1924-04-18	9700	A
USGS	03335500	1924-04-19	9500	A
USGS	03335500	1924-04-20	11100	A
USGS	03335500	1924-04-21	6100	A
USGS	03335500	1924-04-22	8500	A
USGS	03335500	1924-04-23	14800	A
USGS	03335500	1924-04-24	15500	A
USGS	03335500	1924-04-25	11500	A
USGS	03335500	1924-04-26	9100	A
USGS	03335500	1924-04-27	8900	A
USGS	03335500	1924-04-28	12200	A
USGS	03335500	1924-04-29	21900	A
USGS	03335500	1924-04-30	17200	A
USGS	03335500	1924-05-01	15500	A
USGS	03335500	1924-05-02	15300	A
USGS	03335500	1924-05-03	12200	A
USGS	03335500	1924-05-04	9900	A
USGS	03335500	1924-05-05	8500	A
USGS	03335500	1924-05-06	8500	A
USGS	03335500	1924-05-07	7900	A
USGS	03335500	1924-05-08	7500	A
USGS	03335500	1924-05-09	7900	A
USGS	03335500	1924-05-10	8700	A
USGS	03335500	1924-05-11	9300	A
USGS	03335500	1924-05-12	14200	A
USGS	03335500	1924-05-13	13700	A
USGS	03335500	1924-05-14	12800	A
USGS	03335500	1924-05-15	9500	A
USGS	03335500	1924-05-16	8700	A
USGS	03335500	1924-05-17	7900	A
USGS	03335500	1924-05-18	7300	A
USGS	03335500	1924-05-19	5700	A
USGS	03335500	1924-05-20	6300	A
USGS	03335500	1924-05-21	5900	A
USGS	03335500	1924-05-22	5700	A
USGS	03335500	1924-05-23	5100	A
USGS	03335500	1924-05-24	5100	A
USGS	03335500	1924-05-25	6700	A
USGS	03335500	1924-05-26	9900	A
USGS	03335500	1924-05-27	9100	A
USGS	03335500	1924-05-28	7500	A
USGS	03335500	1924-05-29	6300	A
USGS	03335500	1924-05-30	6100	A
USGS	03335500	1924-05-31	4900	A
USGS	03335500	1924-06-01	4320	A
USGS	03335500	1924-06-02	6700	A
USGS	03335500	1924-06-03	8700	A
USGS	03335500	1924-06-04	8300	A
USGS	03335500	1924-06-05	9500	A
USGS	03335500	1924-06-06	13500	A
USGS	03335500	1924-06-07	18100	A
USGS	03335500	1924-06-08	20800	A
USGS	03335500	1924-06-09	27600	A
USGS	03335500	1924-06-10	36600	A
USGS	03335500	1924-06-11	42900	A
USGS	03335500	1924-06-12	38000	A
USGS	03335500	1924-06-13	28200	A
USGS	03335500	1924-06-14	21000	A
USGS	03335500	1924-06-15	15500	A
USGS	03335500	1924-06-16	12800	A
USGS	03335500	1924-06-17	14400	A
USGS	03335500	1924-06-18	14800	A
USGS	03335500	1924-06-19	12400	A
USGS	03335500	1924-06-20	9300	A
USGS	03335500	1924-06-21	9100	A
USGS	03335500	1924-06-22	10300	A
USGS	03335500	1924-06-23	10700	A
USGS	03335500	1924-06-24	8300	A
USGS	03335500	1924-06-25	9100	A
USGS	03335500	1924-06-26	25200	A
USGS	03335500	1924-06-27	23400	A
USGS	03335500	1924-06-28	15000	A
USGS	03335500	1924-06-29	18800	A
USGS	03335500	1924-06-30	17700	A
USGS	03335500	1924-07-01	15000	A
USGS	03335500	1924-07-02	11500	A
USGS	03335500	1924-07-03	9100	A
USGS	03335500	1924-07-04	8300	A
USGS	03335500	1924-07-05	7300	A
USGS	03335500	1924-07-06	5100	A
USGS	03335500	1924-07-07	5000	A
USGS	03335500	1924-07-08	5100	A
USGS	03335500	1924-07-09	5900	A
USGS	03335500	1924-07-10	6700	A
USGS	03335500	1924-07-11	5100	A
USGS	03335500	1924-07-12	5500	A
USGS	03335500	1924-07-13	4500	A
USGS	03335500	1924-07-14	3960	A
USGS	03335500	1924-07-15	3960	A
USGS	03335500	1924-07-16	4050	A
USGS	03335500	1924-07-17	3690	A
USGS	03335500	1924-07-18	3420	A
USGS	03335500	1924-07-19	3240	A
USGS	03335500	1924-07-20	2880	A
USGS	03335500	1924-07-21	2430	A
USGS	03335500	1924-07-22	2700	A
USGS	03335500	1924-07-23	2970	A
USGS	03335500	1924-07-24	2970	A
USGS	03335500	1924-07-25	2970	A
USGS	03335500	1924-07-26	2700	A
USGS	03335500	1924-07-27	2700	A
USGS	03335500	1924-07-28	2520	A
USGS	03335500	1924-07-29	2880	A
USGS	03335500	1924-07-30	3150	A
USGS	03335500	1924-07-31	2880	A
USGS	03335500	1924-08-01	2880	A
USGS	03335500	1924-08-02	2340	A
USGS	03335500	1924-08-03	2170	A
USGS	03335500	1924-08-04	2020	A
USGS	03335500	1924-08-05	2020	A
USGS	03335500	1924-08-06	2020	A
USGS	03335500	1924-08-07	1870	A
USGS	03335500	1924-08-08	1870	A
USGS	03335500	1924-08-09	1720	A
USGS	03335500	1924-08-10	7500	A
USGS	03335500	1924-08-11	4050	A
USGS	03335500	1924-08-12	3510	A
USGS	03335500	1924-08-13	3240	A
USGS	03335500	1924-08-14	2880	A
USGS	03335500	1924-08-15	2520	A
USGS	03335500	1924-08-16	2430	A
USGS	03335500	1924-08-17	2340	A
USGS	03335500	1924-08-18	2170	A
USGS	03335500	1924-08-19	2100	A
USGS	03335500	1924-08-20	2100	A
USGS	03335500	1924-08-21	2260	A
USGS	03335500	1924-08-22	2340	A
USGS	03335500	1924-08-23	2520	A
USGS	03335500	1924-08-24	3240	A
USGS	03335500	1924-08-25	3240	A
USGS	03335500	1924-08-26	3690	A
USGS	03335500	1924-08-27	3240	A
USGS	03335500	1924-08-28	2520	A
USGS	03335500	1924-08-29	2020	A
USGS	03335500	1924-08-30	2020	A
USGS	03335500	1924-08-31	2020	A
USGS	03335500	1924-09-01	2020	A
USGS	03335500	1924-09-02	4230	A
USGS	03335500	1924-09-03	6300	A
USGS	03335500	1924-09-04	5900	A
USGS	03335500	1924-09-05	3960	A
USGS	03335500	1924-09-06	3600	A
USGS	03335500	1924-09-07	3240	A
USGS	03335500	1924-09-08	2880	A
USGS	03335500	1924-09-09	2340	A
USGS	03335500	1924-09-10	2170	A
USGS	03335500	1924-09-11	2020	A
USGS	03335500	1924-09-12	2020	A
USGS	03335500	1924-09-13	1800	A
USGS	03335500	1924-09-14	1720	A
USGS	03335500	1924-09-15	1640	A
USGS	03335500	1924-09-16	1570	A
USGS	03335500	1924-09-17	1570	A
USGS	03335500	1924-09-18	1570	A
USGS	03335500	1924-09-19	1720	A
USGS	03335500	1924-09-20	1870	A
USGS	03335500	1924-09-21	2170	A
USGS	03335500	1924-09-22	2430	A
USGS	03335500	1924-09-23	2430	A
USGS	03335500	1924-09-24	2340	A
USGS	03335500	1924-09-25	2170	A
USGS	03335500	1924-09-26	2170	A
USGS	03335500	1924-09-27	2020	A
USGS	03335500	1924-09-28	1870	A
USGS	03335500	1924-09-29	1640	A
USGS	03335500	1924-09-30	1570	A
USGS	03335500	1924-10-01	1640	A
USGS	03335500	1924-10-02	1720	A
USGS	03335500	1924-10-03	1640	A
USGS	03335500	1924-10-04	1640	A
USGS	03335500	1924-10-05	1570	A
USGS	03335500	1924-10-06	1500	A
USGS	03335500	1924-10-07	1500	A
USGS	03335500	1924-10-08	1570	A
USGS	03335500	1924-10-09	1570	A
USGS	03335500	1924-10-10	1570	A
USGS	03335500	1924-10-11	1500	A
USGS	03335500	1924-10-12	1570	A
USGS	03335500	1924-10-13	1570	A
USGS	03335500	1924-10-14	1570	A
USGS	03335500	1924-10-15	1570	A
USGS	03335500	1924-10-16	1570	A
USGS	03335500	1924-10-17	1420	A
USGS	03335500	1924-10-18	1420	A
USGS	03335500	1924-10-19	1420	A
USGS	03335500	1924-10-20	1420	A
USGS	03335500	1924-10-21	1420	A
USGS	03335500	1924-10-22	1420	A
USGS	03335500	1924-10-23	1420	A
USGS	03335500	1924-10-24	1290	A
USGS	03335500	1924-10-25	1290	A
USGS	03335500	1924-10-26	1290	A
USGS	03335500	1924-10-27	1220	A
USGS	03335500	1924-10-28	1290	A
USGS	03335500	1924-10-29	1420	A
USGS	03335500	1924-10-30	1420	A
USGS	03335500	1924-10-31	1420	A
USGS	03335500	1924-11-01	1160	A
USGS	03335500	1924-11-02	1290	A
USGS	03335500	1924-11-03	1290	A
USGS	03335500	1924-11-04	1220	A
USGS	03335500	1924-11-05	1220	A
USGS	03335500	1924-11-06	1290	A
USGS	03335500	1924-11-07	1290	A
USGS	03335500	1924-11-08	1290	A
USGS	03335500	1924-11-09	1160	A
USGS	03335500	1924-11-10	1100	A
USGS	03335500	1924-11-11	1290	A
USGS	03335500	1924-11-12	1420	A
USGS	03335500	1924-11-13	1570	A
USGS	03335500	1924-11-14	1720	A
USGS	03335500	1924-11-15	1500	A
USGS	03335500	1924-11-16	1420	A
USGS	03335500	1924-11-17	1290	A
USGS	03335500	1924-11-18	1290	A
USGS	03335500	1924-11-19	1290	A
USGS	03335500	1924-11-20	1290	A
USGS	03335500	1924-11-21	1500	A
USGS	03335500	1924-11-22	1500	A
USGS	03335500	1924-11-23	1420	A
USGS	03335500	1924-11-24	1360	A
USGS	03335500	1924-11-25	1290	A
USGS	03335500	1924-11-26	1290	A
USGS	03335500	1924-11-27	1290	A
USGS	03335500	1924-11-28	1290	A
USGS	03335500	1924-11-29	1360	A
USGS	03335500	1924-11-30	1360	A
USGS	03335500	1924-12-01	1420	A
USGS	03335500	1924-12-02	1160	A
USGS	03335500	1924-12-03	1570	A
USGS	03335500	1924-12-04	1420	A
USGS	03335500	1924-12-05	1420	A
USGS	03335500	1924-12-06	1870	A
USGS	03335500	1924-12-07	2020	A
USGS	03335500	1924-12-08	2340	A
USGS	03335500	1924-12-09	5300	A
USGS	03335500	1924-12-10	5100	A
USGS	03335500	1924-12-11	4900	A
USGS	03335500	1924-12-12	3960	A
USGS	03335500	1924-12-13	3780	A
USGS	03335500	1924-12-14	3240	A
USGS	03335500	1924-12-15	2880	A
USGS	03335500	1924-12-16	2880	A
USGS	03335500	1924-12-17	3420	A
USGS	03335500	1924-12-18	8100	A
USGS	03335500	1924-12-19	31200	A
USGS	03335500	1924-12-20	48200	A
USGS	03335500	1924-12-21	58400	A
USGS	03335500	1924-12-22	51800	A
USGS	03335500	1924-12-23	33200	A
USGS	03335500	1924-12-24	18800	A
USGS	03335500	1924-12-25	11500	A
USGS	03335500	1924-12-26	8700	A
USGS	03335500	1924-12-27	6100	A
USGS	03335500	1924-12-28	10100	A
USGS	03335500	1924-12-29	10100	A
USGS	03335500	1924-12-30	10100	A
USGS	03335500	1924-12-31	10100	A
USGS	03335500	1925-01-01	9500	A
USGS	03335500	1925-01-02	9500	A
USGS	03335500	1925-01-03	7700	A
USGS	03335500	1925-01-04	7700	A
USGS	03335500	1925-01-05	6900	A
USGS	03335500	1925-01-06	6900	A
USGS	03335500	1925-01-07	6900	A
USGS	03335500	1925-01-08	6900	A
USGS	03335500	1925-01-09	5300	A
USGS	03335500	1925-01-10	5300	A
USGS	03335500	1925-01-11	4320	A
USGS	03335500	1925-01-12	4320	A
USGS	03335500	1925-01-13	3780	A
USGS	03335500	1925-01-14	3420	A
USGS	03335500	1925-01-15	3420	A
USGS	03335500	1925-01-16	3420	A
USGS	03335500	1925-01-17	3420	A
USGS	03335500	1925-01-18	3420	A
USGS	03335500	1925-01-19	3060	A
USGS	03335500	1925-01-20	3060	A
USGS	03335500	1925-01-21	3060	A
USGS	03335500	1925-01-22	2880	A
USGS	03335500	1925-01-23	2880	A
USGS	03335500	1925-01-24	2520	A
USGS	03335500	1925-01-25	2520	A
USGS	03335500	1925-01-26	2520	A
USGS	03335500	1925-01-27	3420	A
USGS	03335500	1925-01-28	3420	A
USGS	03335500	1925-01-29	3420	A
USGS	03335500	1925-01-30	3420	A
USGS	03335500	1925-01-31	4140	A
USGS	03335500	1925-02-01	4140	A
USGS	03335500	1925-02-02	4140	A
USGS	03335500	1925-02-03	4140	A
USGS	03335500	1925-02-04	4140	A
USGS	03335500	1925-02-05	4140	A
USGS	03335500	1925-02-06	4500	A
USGS	03335500	1925-02-07	6700	A
USGS	03335500	1925-02-08	8300	A
USGS	03335500	1925-02-09	12200	A
USGS	03335500	1925-02-10	13100	A
USGS	03335500	1925-02-11	12400	A
USGS	03335500	1925-02-12	10700	A
USGS	03335500	1925-02-13	8700	A
USGS	03335500	1925-02-14	7500	A
USGS	03335500	1925-02-15	6700	A
USGS	03335500	1925-02-16	4900	A
USGS	03335500	1925-02-17	4140	A
USGS	03335500	1925-02-18	5300	A
USGS	03335500	1925-02-19	5300	A
USGS	03335500	1925-02-20	4900	A
USGS	03335500	1925-02-21	4900	A
USGS	03335500	1925-02-22	6500	A
USGS	03335500	1925-02-23	15000	A
USGS	03335500	1925-02-24	23400	A
USGS	03335500	1925-02-25	26200	A
USGS	03335500	1925-02-26	21600	A
USGS	03335500	1925-02-27	15700	A
USGS	03335500	1925-02-28	10700	A
USGS	03335500	1925-03-01	9300	A
USGS	03335500	1925-03-02	6100	A
USGS	03335500	1925-03-03	5700	A
USGS	03335500	1925-03-04	5700	A
USGS	03335500	1925-03-05	5300	A
USGS	03335500	1925-03-06	4700	A
USGS	03335500	1925-03-07	4500	A
USGS	03335500	1925-03-08	4500	A
USGS	03335500	1925-03-09	4500	A
USGS	03335500	1925-03-10	6100	A
USGS	03335500	1925-03-11	6700	A
USGS	03335500	1925-03-12	10100	A
USGS	03335500	1925-03-13	12600	A
USGS	03335500	1925-03-14	31900	A
USGS	03335500	1925-03-15	59100	A
USGS	03335500	1925-03-16	61900	A
USGS	03335500	1925-03-17	47000	A
USGS	03335500	1925-03-18	33200	A
USGS	03335500	1925-03-19	31900	A
USGS	03335500	1925-03-20	37000	A
USGS	03335500	1925-03-21	35000	A
USGS	03335500	1925-03-22	26200	A
USGS	03335500	1925-03-23	19700	A
USGS	03335500	1925-03-24	15500	A
USGS	03335500	1925-03-25	13700	A
USGS	03335500	1925-03-26	12200	A
USGS	03335500	1925-03-27	11100	A
USGS	03335500	1925-03-28	10000	A
USGS	03335500	1925-03-29	9500	A
USGS	03335500	1925-03-30	7900	A
USGS	03335500	1925-03-31	8300	A
USGS	03335500	1925-04-01	7900	A
USGS	03335500	1925-04-02	6900	A
USGS	03335500	1925-04-03	6100	A
USGS	03335500	1925-04-04	6100	A
USGS	03335500	1925-04-05	5500	A
USGS	03335500	1925-04-06	4320	A
USGS	03335500	1925-04-07	4320	A
USGS	03335500	1925-04-08	4320	A
USGS	03335500	1925-04-09	4140	A
USGS	03335500	1925-04-10	4700	A
USGS	03335500	1925-04-11	4700	A
USGS	03335500	1925-04-12	4700	A
USGS	03335500	1925-04-13	4140	A
USGS	03335500	1925-04-14	4500	A
USGS	03335500	1925-04-15	4500	A
USGS	03335500	1925-04-16	4320	A
USGS	03335500	1925-04-17	3960	A
USGS	03335500	1925-04-18	3960	A
USGS	03335500	1925-04-19	3780	A
USGS	03335500	1925-04-20	3420	A
USGS	03335500	1925-04-21	3420	A
USGS	03335500	1925-04-22	3780	A
USGS	03335500	1925-04-23	4140	A
USGS	03335500	1925-04-24	4900	A
USGS	03335500	1925-04-25	8900	A
USGS	03335500	1925-04-26	6100	A
USGS	03335500	1925-04-27	4500	A
USGS	03335500	1925-04-28	4500	A
USGS	03335500	1925-04-29	4140	A
USGS	03335500	1925-04-30	4320	A
USGS	03335500	1925-05-01	4050	A
USGS	03335500	1925-05-02	3420	A
USGS	03335500	1925-05-03	3240	A
USGS	03335500	1925-05-04	2880	A
USGS	03335500	1925-05-05	3240	A
USGS	03335500	1925-05-06	3240	A
USGS	03335500	1925-05-07	3060	A
USGS	03335500	1925-05-08	2700	A
USGS	03335500	1925-05-09	2700	A
USGS	03335500	1925-05-10	2520	A
USGS	03335500	1925-05-11	2340	A
USGS	03335500	1925-05-12	2340	A
USGS	03335500	1925-05-13	2340	A
USGS	03335500	1925-05-14	2520	A
USGS	03335500	1925-05-15	2520	A
USGS	03335500	1925-05-16	2520	A
USGS	03335500	1925-05-17	2700	A
USGS	03335500	1925-05-18	2170	A
USGS	03335500	1925-05-19	2020	A
USGS	03335500	1925-05-20	2020	A
USGS	03335500	1925-05-21	2020	A
USGS	03335500	1925-05-22	2020	A
USGS	03335500	1925-05-23	1870	A
USGS	03335500	1925-05-24	1870	A
USGS	03335500	1925-05-25	1870	A
USGS	03335500	1925-05-26	1870	A
USGS	03335500	1925-05-27	1870	A
USGS	03335500	1925-05-28	1870	A
USGS	03335500	1925-05-29	1720	A
USGS	03335500	1925-05-30	1720	A
USGS	03335500	1925-05-31	1720	A
USGS	03335500	1925-06-01	1720	A
USGS	03335500	1925-06-02	1720	A
USGS	03335500	1925-06-03	1570	A
USGS	03335500	1925-06-04	1570	A
USGS	03335500	1925-06-05	1420	A
USGS	03335500	1925-06-06	1420	A
USGS	03335500	1925-06-07	1420	A
USGS	03335500	1925-06-08	1600	A
USGS	03335500	1925-06-09	1570	A
USGS	03335500	1925-06-10	1360	A
USGS	03335500	1925-06-11	1360	A
USGS	03335500	1925-06-12	1290	A
USGS	03335500	1925-06-13	1360	A
USGS	03335500	1925-06-14	1420	A
USGS	03335500	1925-06-15	1420	A
USGS	03335500	1925-06-16	1420	A
USGS	03335500	1925-06-17	1420	A
USGS	03335500	1925-06-18	4140	A
USGS	03335500	1925-06-19	3330	A
USGS	03335500	1925-06-20	2880	A
USGS	03335500	1925-06-21	2520	A
USGS	03335500	1925-06-22	2020	A
USGS	03335500	1925-06-23	1800	A
USGS	03335500	1925-06-24	1720	A
USGS	03335500	1925-06-25	1720	A
USGS	03335500	1925-06-26	1720	A
USGS	03335500	1925-06-27	1570	A
USGS	03335500	1925-06-28	1570	A
USGS	03335500	1925-06-29	1570	A
USGS	03335500	1925-06-30	1570	A
USGS	03335500	1925-07-01	1420	A
USGS	03335500	1925-07-02	1420	A
USGS	03335500	1925-07-03	1290	A
USGS	03335500	1925-07-04	1290	A
USGS	03335500	1925-07-05	2170	A
USGS	03335500	1925-07-06	2260	A
